Tender Title,Label,Tender No and date,Plant/Unit,Tender issue date and time,Bid Submission Closing date and Time,Remarks,Label_Code
"Silica Sand, Foundry Grade (Rajmahal variety)as per IS:1987 of 1974, Grade-A (Double washed)",raw_materials,SAIL/SGWK/SF/Silica Sand/20-21/OTE/07 and 16.05.2020,SAIL GROWTH WORKS KULTI (SGW),May 18 2020  1:15:00:000PM,Jun  4 2020  3:30:00:000PM, --  ,5
Procurement of Nickel for SAIL Plants,raw_materials,SAIL/SSP/Nickel/2019-20/CPA,Salem Steel Plant,Mar  2 2019  7:00:00:000PM,Mar 30 2020  3:00:00:000PM,Corr,5
OPEN Tender for 1000 MT of Used/rejected alumino silicate refractory bricks (High Grog) for SRU-IFICO.,none,SRU/IFICO/MM/OTE/ ASR BRICKS/2020-21/44 Date : 16/05/2020,SAIL REFRACTORY UNIT,May 16 2020  5:00:00:000PM,Jun 11 2020  2:00:00:000PM, --  ,4
OPEN Tender for 140 MT (inclusive of 28 MT Trial qty) of MONO ALUMINIUM PHOSPHATE for SRU-IFICO,raw_materials,SRU/IFICO/MM/OTE/ MAP/2019-20/472 Date : 27/02/2020,SAIL REFRACTORY UNIT,Feb 27 2020  7:00:00:000PM,Mar 26 2020  1:00:00:000PM,Corr,5
OPEN Tender for 988 MT (inclusive of 200 MT Trial qty) of NON PLASTIC CLAY for SRU-IFICO.,raw_materials,SRU/IFICO/MM/OTE/ NPC/2020-21/43 Date : 16/05/2020,SAIL REFRACTORY UNIT,May 16 2020  6:00:00:000PM,Jun 11 2020  2:00:00:000PM, --  ,5
OPEN Tender for procurement of 4090 MT (inclusive of 818 MT Trial qty) of PLASTIC CLAY (Grade-A)  for SRU-IFICO.,raw_materials,SRU/IFICO/MM/OTE/ PLASTIC CLAY/2020-21/42 Date : 15/05/2020,SAIL REFRACTORY UNIT,May 15 2020  6:00:00:000PM,Jun 11 2020  2:00:00:000PM, --  ,5
OPEN Tender for 110 MT (inclusive of 22 MT Trial qty) of WASHED CHINA CLAY for SRU-IFICO.,raw_materials,SRU/IFICO/MM/OTE/ WCC/2020-21/41 Date : 15/05/2020,SAIL REFRACTORY UNIT,May 15 2020  6:00:00:000PM,Jun 11 2020  2:00:00:000PM, --  ,5
Open Tender Enquiry for supply of 01 number transformer 2000 KVA to SRU-IFICO,machine,SRU/IFICO/MM/OTE/Transformer/2019-20/02 Date: 26.02.2020,SAIL REFRACTORY UNIT,Feb 27 2020  8:00:00:000PM,Jun  4 2020  2:00:00:000PM,Corr,3
Global Tender for 486 MT of Andalusite for SRU-IFICO.,raw_materials,SRU/MM/GTE/2019-20/ Andalusite/IFICO/01 dated 18/11/2019,SAIL REFRACTORY UNIT,Nov 19 2019  6:00:00:000PM,Apr 21 2020  1:00:00:000PM,Corr,5
"GTE for 3832 MT of Calcined Alumina Grade 4 for SRU-Bhandaridah (BhRP), SRU-IFICO and SRU-Bhilai (BRP)",raw_materials,SRU/MM/GTE/2019-20/CAGr4 dated 26.03.2020,SAIL REFRACTORY UNIT,Mar 26 2020  8:00:00:000PM,May 31 2020  1:00:00:000PM,Corr,5
GTE for 264 MT of Coke for SRU-Bhandaridah (BhRP),raw_materials,SRU/MM/GTE/2019-20/Coke dated 18.01.2020,SAIL REFRACTORY UNIT,Jan 18 2020  6:00:00:000PM,Mar 26 2020  1:00:00:000PM,Corr,5
GTE for 264 MT of Ferro Silicon Nitride for SRU-Bhandaridah (BhRP),raw_materials,SRU/MM/GTE/2019-20/FSN dated 16.01.2020,SAIL REFRACTORY UNIT,Jan 17 2020 12:00:00:000PM,Mar 27 2020  1:00:00:000PM,Corr,5
Global Tender for 1414 MT of Silicon Carbide-85 percent  for SRU-Bhandaridah,raw_materials,SRU/MM/GTE/2020-21/Silicon Carbide-85 percent  /BHRP/01 dated 03/04/2020,SAIL REFRACTORY UNIT,Apr  3 2020  6:00:00:000PM,May 25 2020  1:00:00:000PM,Corr,5
Global Tender for 110 MT of Carbon Blackfor SRU-Bhandaridah.,raw_materials,SRU/MM/GTE/2020/Carbon Black /BHRP/01 dated 12/03/2020,SAIL REFRACTORY UNIT,Mar 13 2020  6:00:00:000PM,May 19 2020  1:00:00:000PM,Corr,5
"Procurement of 627 MT of Atomized Aluminium Powder for SRU-BRP(340 MT), RRRP(197 MT) and BHRP(90 MT).",raw_materials,SRU/MM/OTE/2019-20/At.Al.Powder/15 dtd 11/03/2020,SAIL REFRACTORY UNIT,Mar 12 2020  6:00:00:000PM,May 27 2020  2:00:00:000PM,Corr,5
Procurement of 7200 MT of Calcined Fire Clay for SRU-IFICO,raw_materials,SRU/MM/OTE/2019-20/CFC/13 dtd 07/03/2020,SAIL REFRACTORY UNIT,Mar  8 2020 12:00:00:000PM,May 27 2020  1:00:00:000PM,Corr,5
Procurement of 622 MT of Graphite FC 70 percent  for SRU-Bhandaridah.,raw_materials,SRU/MM/OTE/2019-20/Graphite70/16 dtd 31/03/2020,SAIL REFRACTORY UNIT,Apr  3 2020  8:00:00:000PM,May 27 2020  1:00:00:000PM,Corr,5
Procurement of wooden pallets of different sizes for SRU-Ranchi Road,raw_materials,SRU/RR/PUR/10-01/2019-20   Dt.27.02.2020,SAIL REFRACTORY UNIT,Mar 13 2020  4:00:00:000PM,Mar 31 2020  2:00:00:000PM, --  ,5
Supply of  5823 High Tensile Steel Strapping to SRU Ranchi Road,hardware,SRU/RR/PUR/OTE/01-02/19-20/20 Dt.27.02.2020,SAIL REFRACTORY UNIT,Mar 13 2020  4:00:00:000PM,Apr 17 2020  2:00:00:000PM,Corr,2
"56 MT STPP For SAIL Refractory unit, Bhandaridah, Bokaro.",raw_materials,SRUB/PUR/001(12-1)/2020-002 dt: 29/04/2020.,SAIL REFRACTORY UNIT,May  6 2020  6:00:00:000PM,May 25 2020  2:30:00:000PM, --  ,5
"One no. of forklift For SAIL Refractory unit, Bhandaridah, Bokaro.",machine,SRUB/PUR/060(18-8)/19-003 dt: 01/05/2020.,SAIL REFRACTORY UNIT,May  6 2020  3:00:00:000PM,May 24 2020  3:00:00:000PM, --  ,3
Global Tender for 59 MT of Micro Silica Grade A for SRU-Bhandaridah,raw_materials,SRUBH/MM/RM/GTE/2020-21/ Micro Silica Grade A /03 dated 09/04/2020,SAIL REFRACTORY UNIT,Apr  9 2020  8:00:00:000PM,May 11 2020  1:00:00:000PM, --  ,5
PROCUREMENT  OF RUBBER WOOD,raw_materials,T-02/20-21 DT:08.05.2020,SAIL Refractory Company Limited (SRCL),May 17 2020 10:00:00:000PM,Jun  5 2020  1:00:00:000PM, --  ,5
INSTALLATION OF 50MT CAPACITY ELECTRIC CURING FURNACE (1NO),machine,T-29/19-20 DT: 23.01.2020,SAIL Refractory Company Limited (SRCL),Feb 20 2020  7:00:00:000PM,May 15 2020  1:00:00:000PM,Corr,3
ROUND KILN BAUXITE -75MT (TOTAL QNTY),raw_materials,"T-30/19-20, DT.05.02.2020 .",SAIL Refractory Company Limited (SRCL),Feb 20 2020  8:00:00:000PM,May 15 2020  1:00:00:000PM,Corr,5
Refractory Management for Electric Arc Furnace (EAF),none,T052014 dated 14.03.2020,Salem Steel Plant,Mar 21 2020  6:00:00:000PM,May 25 2020  3:00:00:000PM,Corr,4
Refractory Management for Teeming Ladle,none,T052015 dated 14.03.2020,Salem Steel Plant,Mar 21 2020  6:00:00:000PM,May 25 2020  3:00:00:000PM,Corr,4
"Supply, Installation & Commissioning of Optical Emission Spectrometer for SAIL-JSU, JAGDISHPUR",machine,TENDER No:P/PROJ/JSU/TMT/OES/94 DATED:04.02.2020,Rourkela Steel Plant,Feb  4 2020 12:45:00:000PM,Apr 17 2020  2:30:00:000PM,Corr,3
SALE / DISPOSAL OF CAST IRON PIPES,hardware,"VISL/FA/CIP(01)MJ-04/2020-21 DTD, 12.05.20 HELD ON 20.05.2020",Visvesvaraya Iron & Steel Plant,May 14 2020  5:00:00:000PM,May 20 2020 12:00:00:000PM, --  ,2
SALE / DISPOSAL OF USED CONDEMNED SCRAPPED MATERIALS,none,VISL/FA/CS(01)MJ-05/2020-21 DTD:12.05.2020 HELD ON 20.05.2020,Visvesvaraya Iron & Steel Plant,May 14 2020  5:00:00:000PM,May 20 2020 12:00:00:000PM, --  ,4
SALE / DISPOSAL OF MAG CARBON BRICKS,raw_materials,VISL/FA/MCB(01)MJ-03/2020-21 DTD: 12.05.2020 HELD ON 20.05.2020,Visvesvaraya Iron & Steel Plant,May 14 2020  5:00:00:000PM,May 20 2020 12:00:00:000PM, --  ,5
SALE / DISPOSAL OF PIG IRON,raw_materials,VISL/FA/PI(01)MJ-01/2020-21 DTD:12.05.2020 HELD ON 12.05.2020,Visvesvaraya Iron & Steel Plant,May 14 2020  4:30:00:000PM,May 20 2020 12:00:00:000PM, --  ,5
SALE / DISPOSAL OF IRON & STEEL SCRAP,none,VISL/FA/SCRAP(01)MJ-02/2020-21 DTD: 12.05.2020 HELD ON 20.05.2020,Visvesvaraya Iron & Steel Plant,May 14 2020  4:30:00:000PM,May 20 2020 12:00:00:000PM, --  ,4
"BISCUIT,GROCERY & SOFT DRINKS",none,"WC/TENDER/BISCUIT,GROCERY & SOFT DRINKS/2020-21/4229 DTD.19/03/2020",Rourkela Steel Plant,Mar 20 2020  1:00:00:000PM,Apr 18 2020  2:00:00:000PM, --  ,4
HIRING OF EQUIPMENTS/VEHICLES FOR UNLOADING OF IRON & STEEL MATERIAL FROM WAGONS/ TRUCKS/TRAILORS AT SSSY.,vehicle/equipment_hiring,010/003/1981100133/01/00/500006937 DATED:28.02.2020,Rourkela Steel Plant,Feb 29 2020 10:00:00:000AM,Mar 23 2020  4:00:00:000PM, --  ,8
"HIRING OF TRUCKS F/TRANSPT,2 NOS",vehicle/equipment_hiring,010/401/1981100171/01/00/500006990 DATED:25.03.2020,Rourkela Steel Plant,Mar 25 2020 10:00:00:000AM,May  7 2020  4:00:00:000PM,Corr,8
COURIER SVCE F/PLACES WITHIN ROURKELA,unskilled_manpower ,010/450/1982100481/01/00/500007020 DATED:07.04.2020,Rourkela Steel Plant,Apr  7 2020  5:00:00:000PM,May 21 2020  4:00:00:000PM,Corr,7
0193  Various jobs contracts (LTE-0193) of Works Division of SAIL/Bokaro Steel Plant..,none,0193  Various jobs contracts (LTE-0193) of Works Division of SAIL/Bokaro Steel Plant.,Bokaro Steel Plant,Apr 20 2020  6:35:00:000PM,May  6 2020 11:59:59:000PM, --  ,4
0194  Various jobs contracts (LTE-0194) of Works Division of SAIL/Bokaro Steel Plant,none,0194  Various jobs contracts (LTE-0194) of Works Division of SAIL/Bokaro Steel Plant,Bokaro Steel Plant,Apr 23 2020  6:10:00:000PM,May  4 2020 11:59:59:000PM, --  ,4
0196  Various jobs contracts (LTE-0196) of Works Division of SAIL/Bokaro Steel Plant,none,0196  Various jobs contracts (LTE-0196) of Works Division of SAIL/Bokaro Steel Plant,Bokaro Steel Plant,Apr 30 2020  8:30:00:000PM,May 11 2020 11:59:59:000PM, --  ,4
LEASING 6 NOS OF SEADAN CAR FOR TOP OFFICIALS OF RSP.,vehicle/equipment_hiring,021/008/1981000445/01/00/500007011 DATED:08.04.2020,Rourkela Steel Plant,Apr  8 2020  8:00:00:000PM,May 20 2020  4:00:00:000PM,Corr,8
MISC CIVIL WORKS RELATED TO SAFETY <(>&<)> PRODUCTION AT TOP-II.,skilled_manpower,021/196/1982001146/01/00/500006976 DATED:11.03.2020,Rourkela Steel Plant,Mar 11 2020  6:00:00:000PM,May 18 2020  4:00:00:000PM,Corr,6
PROV. HYDROINSULATION <(>&<)> MISC JOBS AT SILO-I OF FERTILIZER PLANT,skilled_manpower,021/196/1982001330/01/00/500006972 DATED:14.03.2020,Rourkela Steel Plant,Mar 18 2020  6:00:00:000PM,May 21 2020  4:00:00:000PM,Corr,6
MAINTENANCE OF AREA ALONG PERIMETER WALL.,unskilled_manpower ,021/196/1982001373/01/00/500006943 DATED:11.03.2020,Rourkela Steel Plant,Mar 11 2020  6:00:00:000PM,May  9 2020  4:00:00:000PM,Corr,7
PROV.04 NOS BORE WELL ARROUND SLUDGE POND FOR MONITORING GROUND WATER,unskilled_manpower ,021/196/1982001766/01/00/500007038 DATED:16.04.2020,Rourkela Steel Plant,Apr 16 2020  7:00:00:000PM,May 16 2020  4:00:00:000PM,Corr,7
REPLACEMENT OF G.I PRESSED WATER TANK WITH SS AT ADMN. BLDG.,none,021/196/1994000141/01/00/500006971 DATED:11.03.2020,Rourkela Steel Plant,Mar 13 2020  6:00:00:000PM,May 26 2020  4:00:00:000PM,Corr,4
MAKING RCC PAVEMENT FROM 100 MT WEIGH BRIDGE TO SSM GATE,unskilled_manpower ,021/196/1994000151/01/00/500007004 DATED:17.04.2020,Rourkela Steel Plant,Apr 20 2020  7:00:00:000PM,May  7 2020  4:00:00:000PM, --  ,7
TWO YEARS JOB CONTRACT FOR REPAIR JOBS OF BASE MIX PREPARATION SERIES,skilled_manpower,021/215/1982001278/01/00/500006957 DATED:18.03.2020,Rourkela Steel Plant,Mar 21 2020  8:00:00:000PM,May  5 2020  4:00:00:000PM,Corr,6
RATE CONTRACT FOR REPAIR JOBS OF YARD EQUIPMENTS OF OBBP PHASE-III.,skilled_manpower,021/215/1982001289/01/00/500006958 DATED:23.03.2020,Rourkela Steel Plant,Mar 26 2020  2:00:00:000PM,May  5 2020  4:00:00:000PM,Corr,6
TWO YEAR JOB CONTRACT FOR REPAIR JOBS OF YARD EQUIPMENTS OF OBBP PH-I.,skilled_manpower,021/215/1982001366/01/00/500006979 DATED:30.03.2020,Rourkela Steel Plant,Apr  1 2020  6:00:00:000PM,May  6 2020  4:00:00:000PM,Corr,6
"JOB CONTRCT FOR MAINTANANCE JOBS IN UNLOADING AREA OF OBBP,PH-I.",unskilled_manpower ,021/215/1982001468/01/00/500006987 DATED:23.03.2020,Rourkela Steel Plant,Mar 26 2020  2:00:00:000PM,May  6 2020  4:00:00:000PM,Corr,7
"PAINTING OF STRUCTURALS IN CCM,W/S <(>&<)> GAS HOLDER AREA OF SMS-II",unskilled_manpower ,021/219/1982001443/01/00/500006920 DATED:18.02.2020,Rourkela Steel Plant,Feb 19 2020  6:00:00:000PM,May  9 2020  4:00:00:000PM,Corr,7
REPAIR/OVERHAULING OF MOULD ASSEMBLY FOR CASTER-III,skilled_manpower,021/219/1982001456/01/00/500007056 DATED:15.05.2020,Rourkela Steel Plant,May 15 2020  8:00:00:000PM,Jun  4 2020  4:00:00:000PM, --  ,6
ENABLING ACTIVITIES DURING COMMISSIONING AND STABILISATION OF HSM-2(M),none,021/228/1988100445/01/00/500006961 DATED:09.03.2020,Rourkela Steel Plant,Mar 11 2020  6:00:00:000PM,May  9 2020  4:00:00:000PM,Corr,4
"FABR.,REPL. OF BED PLATES <(>&<)> FLAPPER GATES IN Q/CARS IN EXPN. SIDE",skilled_manpower,021/240/1982000879/01/00/500006962 DATED:10.03.2020,Rourkela Steel Plant,Mar 11 2020  6:15:00:000PM,May 11 2020  4:00:00:000PM,Corr,6
"FABRICATION OF COKE BUCKET FOR CDCP, COB#6",skilled_manpower,021/240/1982001242/01/00/500006963 DATED:10.03.2020,Rourkela Steel Plant,Mar 11 2020  6:00:00:000PM,May 11 2020  4:00:00:000PM,Corr,6
"2 YRS RATE CONTRACT-BF5 MAINTENANCE OUTSOURCING(PCI UNIT, C/HOUSE DE)",unskilled_manpower ,021/243/1982001652/01/00/500007015  DATED:11.04.2020,Rourkela Steel Plant,Apr 13 2020  6:00:00:000PM,May  5 2020  4:00:00:000PM,Corr,7
REPAIR/OVERHAULING OF CHARGING <(>&<)> DISCHARGING EQUIPMENTS OF WBF.,skilled_manpower,021/253/1982001415/01/00/500006969  DATED:09.03.2020,Rourkela Steel Plant,Mar 10 2020  6:00:00:000PM,May  5 2020  4:00:00:000PM,Corr,6
EMPANELMENT OF FIRMS FOR GENERAL STRUCTURAL REPAIR JOBS AS PER SIR.,skilled_manpower,021/273/1982000453/02/00/500006829 DATED:03.01.2020,Rourkela Steel Plant,Jan  7 2020  9:00:00:000PM,May  7 2020  4:00:00:000PM,Corr,6
ONE YEAR CONTRACT FOR LAGGING OF BELT CONVEYOR PULLEYS.,skilled_manpower,021/273/1982001471/01/00/500006981 DATED:30.03.2020,Rourkela Steel Plant,Apr  1 2020  6:00:00:000PM,May  7 2020  4:00:00:000PM,Corr,6
O/H OF COAL MILL OF BOILER # 5<(>&<)>6.,none,021/287/1982000735/01/00/500006704 DATED:05.11.2019,Rourkela Steel Plant,Nov  5 2019  6:00:00:000PM,May 11 2020  4:00:00:000PM,Corr,4
REPAIR OF ANION/CAT. EXCH./ PR. FILTERS/ VESSELS IN CPP-1.,skilled_manpower,021/287/1982001081/01/00/500007039 DATED:24.04.2020,Rourkela Steel Plant,Apr 24 2020  4:00:00:000PM,May 12 2020  4:00:00:000PM, --  ,6
ARRESTING LEAKAGES <(>&<)> DIVERSION OF ASH SLURRY LINE,skilled_manpower,021/287/1982001191/01/00/500006933 DATED:07.03.2020,Rourkela Steel Plant,Mar  7 2020  6:00:00:000PM,Mar 21 2020  4:00:00:000PM, --  ,6
REPAIR OF TA/ TB/ COOLING TOWER MISCELLANEOUS EQUIPMENTS.,skilled_manpower,021/287/1982001292/01/00/500006989 DATED:08.04.2020,Rourkela Steel Plant,Apr 20 2020  7:00:00:000PM,May 11 2020  4:00:00:000PM, --  ,6
"CLRG OF COAL PIPE,FEEDDER MILLS IN H.P.BLRS DURG MONSOON",unskilled_manpower ,021/287/1982001622/01/00/500006932 DATED:11.03.2020,Rourkela Steel Plant,Mar 11 2020  7:00:00:000PM,May  6 2020  4:00:00:000PM,Corr,7
MAINT OF OIL <(>&<)> WATER CIRCULATION SYS <(>&<)> WTP EQUIP,skilled_manpower,021/287/1982001754/02/00/500007019 DATED:08.04.2020,Rourkela Steel Plant,Apr 20 2020  7:00:00:000PM,May 11 2020  4:00:00:000PM, --  ,6
PAINTING OF DIFFERENT EQUIPMENTS IN AND AROUND CPP-1.,unskilled_manpower ,021/287/1982001767/01/00/500007008 DATED:08.04.2020,Rourkela Steel Plant,Apr 20 2020  7:00:00:000PM,May 11 2020  4:00:00:000PM, --  ,7
CLRG PITS/CT SUMP & COVERNG COAL BY TARPAULIN IN CPP-1&PBS .,unskilled_manpower ,021/287/1988100336/01/00/500006851 DATED:17.01.2020,Rourkela Steel Plant,Jan 18 2020  6:00:00:000PM,May  5 2020  4:00:00:000PM,Corr,7
UP KEEPING AND CLEARING OFF NEW AND OLD CHP IN CPP-1,unskilled_manpower ,021/287/1988100355/01/00/500007040 DATED:24.04.2020,Rourkela Steel Plant,Apr 24 2020  4:00:00:000PM,May 13 2020  4:00:00:000PM, --  ,7
REMOVAL/COLLECTION OF UNUSED MATERIAL AND SHIFTING OF MATERIAL.,unskilled_manpower ,021/315/1988100431/01/00/500006988 DATED:27.03.2020,Rourkela Steel Plant,Mar 27 2020 12:00:00:000PM,May  9 2020  4:00:00:000PM,Corr,7
MATERIAL HANDLING OF SPARES AT STORES <(>&<)> VARIOUS LOC. OF THE DEPTT,unskilled_manpower ,021/319/1981000372/02/00/500007031 DATED:22.04.2020,Rourkela Steel Plant,Apr 22 2020  8:00:00:000PM,May 13 2020  4:00:00:000PM, --  ,7
HIRING OF TRUCK FOR MATERIAL TRANSPORT UNDER SMS-II(E) FOR 02 YEARS.,vehicle/equipment_hiring,021/319/1981000396/01/00/500007032 DATED:17.04.2020,Rourkela Steel Plant,Apr 17 2020  3:00:00:000PM,May 26 2020  4:00:00:000PM,Corr,8
CLEANING AND REFIXING OF OLD GLASS IN VARIOUS CONTROL ROOMS IN SMS-II.,unskilled_manpower ,021/319/1982001372/01/00/500007026 DATED:13.04.2020,Rourkela Steel Plant,Apr 13 2020  3:00:00:000PM,May 23 2020  4:00:00:000PM,Corr,7
AMC FOR CCTV SYSTEM AT SMS-II FOR 02 YEARS,skilled_manpower,021/319/1982001604/01/00/500007029 DATED:11.04.2020,Rourkela Steel Plant,Apr 11 2020  8:00:00:000PM,May 20 2020  4:00:00:000PM,Corr,6
MAINTENANCE OF AIR WASHER UNITS OF DIFFERENT SUBSTATIONS,skilled_manpower,021/322/1982000917/01/00/500006941 DATED:07.03.2020,Rourkela Steel Plant,Mar  7 2020  6:00:00:000PM,May 12 2020  4:00:00:000PM,Corr,6
Miscellaneous Jobs in different areas of HSM-2,none,021/328/1988100271/01/00/500006975 DATED:11.03.2020,Rourkela Steel Plant,Mar 11 2020  6:00:00:000PM,May  7 2020  4:00:00:000PM,Corr,4
ENABLING JOBS FOR COMMISSIONING <(>&<)> STABILIZATION OF HSM-2(E),none,021/328/1988100429/01/00/500006974 DATED:13.03.2020,Rourkela Steel Plant,Mar 13 2020  7:30:00:000PM,May  9 2020  4:00:00:000PM,Corr,4
MODIFICATION OF CHARGING CAR-9 <(>&<)> 10 OF COB-5,skilled_manpower,021/340/1891000001/02/00/500006675 DATED:28.10.2019,Rourkela Steel Plant,Oct 31 2019  6:30:00:000PM,Jun  4 2020  4:00:00:000PM,Corr,6
MAINTENANCE OF SUB-STATION BATTERIES FOR FY.20-21 <(>&<)> 21-22,skilled_manpower,021/383/1982001482/01/00/500007037 DATED: 25.04.2020,Rourkela Steel Plant,Apr 29 2020  3:00:00:000PM,May 14 2020  4:00:00:000PM, --  ,6
REFRACTORY INSTALLATION OF 80 T H.M LADLE / SMS-I MIXER LADLE,skilled_manpower,021/595/1982001581/01/00/500007007 DATED:22.04.2020,Rourkela Steel Plant,Apr 22 2020  6:00:00:000PM,May  6 2020  4:00:00:000PM, --  ,6
Refry. jobs of Reheating Fces in PM<(>&<)>HSM and other fces of millzone,skilled_manpower,021/595/1982001593/01/00/500006996 DATED: 22.04.2020,Rourkela Steel Plant,Apr 27 2020  3:00:00:000PM,May  9 2020  4:00:00:000PM, --  ,6
REFY GUNNING OF CONV. AT SMS-1<(>&<)>SMS-II AND EMERGENCY BUCKET LINING,none,021/595/1982001692/01/00/500007041 DATED: 22.04.2020,Rourkela Steel Plant,Apr 27 2020  3:00:00:000PM,May  9 2020  4:00:00:000PM, --  ,4
Enabling activities for Receipt of Raw Mat <(>&<)> Flux,none,021/616/1981000392/01/00/500006966 DATED: 30.03.2020,Rourkela Steel Plant,Mar 31 2020  3:00:00:000PM,May  6 2020  4:00:00:000PM,Corr,4
REMVL OF MUCK/DEBRIS/SPILLAGES FROM DIFF WORK AREAS OF CP-II,unskilled_manpower ,021/616/1988100345/01/00/500006992 DATED:26.03.2020,Rourkela Steel Plant,Mar 26 2020  6:00:00:000PM,May  5 2020  4:00:00:000PM,Corr,7
ENABLING THE AVIALABILITY OF CALCINED LIME TO SP-2 FROM CP -2,none,021/618/1981000244/01/00/500006993 DATED:27.03.2020,Rourkela Steel Plant,Mar 27 2020  3:00:00:000PM,May 16 2020  4:00:00:000PM,Corr,4
Loading of slabs for IPT/home sales at PQ/QR/RS bay of SMS-II,unskilled_manpower ,021/619/1981000384/01/00/500007018 DATED:09.04.2020,Rourkela Steel Plant,Apr 10 2020  3:00:00:000PM,May  7 2020  4:00:00:000PM,Corr,7
Scrap handling at scrap yard of SMS-II,unskilled_manpower ,021/619/1981000391/01/00/500007017 DATED:17.04.2020,Rourkela Steel Plant,Apr 20 2020  8:00:00:000PM,May  9 2020  4:00:00:000PM, --  ,7
FLAME CUTTING OF SLABS FOR SMS-II,skilled_manpower,021/619/1982001464/01/00/500006951 DATED:03.03.2020,Rourkela Steel Plant,Mar  4 2020  8:00:00:000PM,May  5 2020  4:00:00:000PM,Corr,6
CLEARING OF DRAINS <(>&<)> GUTTERS,unskilled_manpower ,021/621/1988100442/01/00/500006984 DATED:23.03.2020,Rourkela Steel Plant,Mar 24 2020  6:00:00:000PM,May 16 2020  4:00:00:000PM,Corr,7
ENABLING JOB FOR PILER ACTIVITIES IN NPM.,none,021/623/1981000413/01/00/500007034  DATED:22.04.2020,Rourkela Steel Plant,Apr 23 2020  6:00:00:000PM,May 13 2020  4:00:00:000PM, --  ,4
LOADING AND TRANSPORTATION OF MILL SCALES IN NPM.,vehicle/equipment_hiring,021/623/1981000444/01/00/500007065  DATED:13.05.2020,Rourkela Steel Plant,May 13 2020  6:00:00:000PM,Jun  2 2020  4:00:00:000PM, --  ,8
FINAL INSPECTION <(>&<)> HAND GRINDING JOB IN NPM.,skilled_manpower,021/623/1982001682/01/00/500007035  DATED:20.04.2020,Rourkela Steel Plant,Apr 21 2020  6:00:00:000PM,May  9 2020  4:00:00:000PM, --  ,6
REPLACEMENT OF GAS PIPELINE NB900-NB1500,skilled_manpower,021/633/1982001454/01/00/500007028 DATED:28.04.2020,Rourkela Steel Plant,Apr 29 2020  6:00:00:000PM,May 20 2020  4:00:00:000PM, --  ,6
REPAIR OF YARD STEAM PIPELINE,skilled_manpower,021/633/1982001527/01/00/500007000 DATED:28.03.2020,Rourkela Steel Plant,Mar 28 2020  6:00:00:000PM,May  9 2020  4:00:00:000PM,Corr,6
Sample preparation for Mechanical Testing at Test House of RCL.,skilled_manpower,021/635/1982001361/01/00/500006955 DATED:02.03.2020,Rourkela Steel Plant,Mar  2 2020  6:30:00:000PM,Mar 23 2020  4:00:00:000PM, --  ,6
WHARF MANAGEMENT IN CSP OF OLD COKE OVEN COMPLEX.,skilled_manpower,021/640/1982001575/01/00/500007022 DATED:21.04.2020,Rourkela Steel Plant,Apr 22 2020  5:00:00:000PM,May 14 2020  4:00:00:000PM, --  ,6
HANDLING OF COAL <(>&<)> COKE SPILLAGE IN OLD CO COMPLEX.,skilled_manpower,021/640/1988100433/01/00/500006967 DATED:13.03.2020,Rourkela Steel Plant,Mar 14 2020  6:00:00:000PM,May 19 2020  4:00:00:000PM,Corr,6
CLEARING OF JAMMED WET COAL FROM SERVICE BUNKERS IN OLD CO COMPLEX.,unskilled_manpower ,021/640/1988100504/01/00/500007027 DATED:13.04.2020,Rourkela Steel Plant,Apr 13 2020  6:00:00:000PM,May  4 2020  4:00:00:000PM, --  ,7
HANDLING OF COAL SPILLAGE/SLIDING IN CHP OF OLD CO DURING MONSOON.,unskilled_manpower ,021/640/1988100555/01/00/500007047 DATED:28.04.2020,Rourkela Steel Plant,Apr 28 2020  6:00:00:000PM,May 14 2020  4:00:00:000PM, --  ,7
"PAINTING OF PIPE LINES, STRUCTURALS, EQUIPMENT OF CCD AND COLOR CODING",unskilled_manpower ,021/641/1982000679/01/00/500006773 DATED:05.12.2019,Rourkela Steel Plant,Dec  5 2019  6:00:00:000PM,May 25 2020  4:00:00:000PM,Corr,7
"PAINTING OF PIPE LINES, STRUCTURALS, EQUIPMENT OF CCD AND COLOR CODING",unskilled_manpower ,021/641/1982000679/02/00/500006978 DATED:12.03.2020,Rourkela Steel Plant,Mar 13 2020  4:00:00:000PM,Apr 16 2020  4:00:00:000PM,Corr,7
MECHANIZED SHIFTING AND LOADING OF GR.SLAG INTO WAGONS AND TRUCKS,vehicle/equipment_hiring,021/643/1981000393/01/00/500006998 DATED: 17.04.2020,Rourkela Steel Plant,Apr 20 2020  5:00:00:000PM,May 23 2020  4:00:00:000PM,Corr,8
"JOB IN TORPEDO LANCING,STOCK HOUSE, CAST HOUSE AND NEW PCM OF BF 5",skilled_manpower,021/643/1988100381/01/00/500006970 DATED: 30.03.2020,Rourkela Steel Plant,Mar 31 2020  3:00:00:000PM,May 13 2020  4:00:00:000PM,Corr,6
"REMVL OF MUCK,DEBRIS ETC FROM PCI,SGP <(>&<)> BASEMENT OF BF-5",unskilled_manpower ,021/643/1988100402/01/00/500006997 DATED: 17.04.2020,Rourkela Steel Plant,Apr 20 2020  6:00:00:000PM,May 13 2020  4:00:00:000PM,Corr,7
